float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2173154.0,0.24978,0.286962
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2097164.0,0.258831,0.29736
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2100660.0,0.2584,0.296865
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2126002.0,0.25532,0.293327
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2009566.0,0.270114,0.310322
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2127896.0,0.255093,0.293066
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2265403.0,0.239609,0.275277
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2244954.0,0.241792,0.277784
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2123478.0,0.255624,0.293675
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1868772.0,0.290464,0.333702
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1965154.0,0.276218,0.317335
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2131024.0,0.254718,0.292635
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2138050.0,0.253881,0.291674
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2234830.0,0.242887,0.279043
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2133278.0,0.254449,0.292326
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1952516.0,0.278006,0.319389
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2139420.0,0.253719,0.291487
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1972596.0,0.275176,0.316138
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2147558.0,0.252757,0.290382
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1967290.0,0.275918,0.316991
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2178492.0,0.249168,0.286259
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1939644.0,0.279851,0.321509
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1747912.0,0.310548,0.356776
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1962356.0,0.276612,0.317788
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1953522.0,0.277863,0.319225
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2051584.0,0.264581,0.303967
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2158858.0,0.251434,0.288862
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1975980.0,0.274705,0.315597
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2131992.0,0.254603,0.292503
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2071788.0,0.262001,0.301002
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2240096.0,0.242316,0.278387
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2264137.0,0.239743,0.275431
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2084300.0,0.260428,0.299195
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2133512.0,0.254421,0.292294
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2116568.0,0.256458,0.294634
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2224028.0,0.244067,0.280398
