float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2778812.0,0.195333,0.224408
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2829812.0,0.191813,0.220364
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3270384.0,0.165973,0.190678
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3012764.0,0.180165,0.206982
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3046880.0,0.178148,0.204665
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2906960.0,0.186723,0.214516
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3124012.0,0.173749,0.199612
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3109196.0,0.174577,0.200563
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2853052.0,0.190251,0.218569
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3086896.0,0.175838,0.202012
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3046700.0,0.178158,0.204677
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2891888.0,0.187696,0.215634
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3152200.0,0.172196,0.197827
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3142720.0,0.172715,0.198423
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3270424.0,0.165971,0.190675
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2630556.0,0.206342,0.237056
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3098100.0,0.175203,0.201281
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3106378.0,0.174736,0.200745
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3041700.0,0.178451,0.205013
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3144672.0,0.172608,0.1983
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3160568.0,0.17174,0.197303
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2941936.0,0.184503,0.211966
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3128744.0,0.173487,0.19931
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2927360.0,0.185421,0.213021
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3053012.0,0.17779,0.204254
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3412152.0,0.159077,0.182755
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2671020.0,0.203216,0.233465
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2805416.0,0.193481,0.22228
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3051920.0,0.177854,0.204327
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2924272.0,0.185617,0.213246
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3188904.0,0.170214,0.19555
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3031036.0,0.179079,0.205735
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2879736.0,0.188488,0.216544
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3183130.0,0.170522,0.195904
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2947284.0,0.184168,0.211581
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2930404.0,0.185229,0.2128
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3320426.0,0.163471,0.187804
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2814660.0,0.192846,0.22155
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3108652.0,0.174608,0.200598
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3011340.0,0.18025,0.20708
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2750520.0,0.197343,0.226717
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3312532.0,0.163861,0.188251
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2838984.0,0.191193,0.219652
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2853640.0,0.190211,0.218524
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3135916.0,0.17309,0.198854
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3000588.0,0.180896,0.207822
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2852500.0,0.190287,0.218611
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2891180.0,0.187742,0.215687
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3094404.0,0.175412,0.201522
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3136456.0,0.17306,0.19882
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3102788.0,0.174938,0.200977
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2908804.0,0.186604,0.21438
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2922080.0,0.185756,0.213406
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2655052.0,0.204439,0.234869
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3209948.0,0.169098,0.194268
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3041600.0,0.178457,0.20502
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2830712.0,0.191752,0.220294
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3072460.0,0.176665,0.202961
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2909192.0,0.186579,0.214351
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2717068.0,0.199772,0.229508
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2943124.0,0.184428,0.21188
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3105312.0,0.174796,0.200814
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2888932.0,0.187888,0.215855
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3039120.0,0.178603,0.205187
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2817552.0,0.192648,0.221323
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2920644.0,0.185848,0.213511
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3188436.0,0.170239,0.195578
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3053432.0,0.177766,0.204226
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3197876.0,0.169736,0.195001
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2857668.0,0.189943,0.218216
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3086646.0,0.175853,0.202028
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3314444.0,0.163767,0.188143
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3352868.0,0.16189,0.185987
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3369342.0,0.161098,0.185077
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3300280.0,0.164469,0.18895
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3245504.0,0.167245,0.192139
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2887164.0,0.188003,0.215987
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3057768.0,0.177513,0.203936
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3176608.0,0.170873,0.196307
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3257856.0,0.166611,0.191411
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2936532.0,0.184842,0.212356
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3145400.0,0.172568,0.198254
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2827008.0,0.192003,0.220583
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2840412.0,0.191097,0.219542
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2723328.0,0.199313,0.22898
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2934240.0,0.184987,0.212521
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2882876.0,0.188282,0.216308
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3092224.0,0.175535,0.201664
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2682976.0,0.202311,0.232424
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3090648.0,0.175625,0.201766
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2875628.0,0.188757,0.216853
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3145108.0,0.172584,0.198273
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3094960.0,0.17538,0.201485
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2893896.0,0.187565,0.215484
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2853916.0,0.190193,0.218503
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2881888.0,0.188347,0.216382
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3051484.0,0.177879,0.204356
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2842232.0,0.190975,0.219401
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2580508.0,0.210344,0.241654
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3139788.0,0.172876,0.198609
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2878236.0,0.188586,0.216657
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2935472.0,0.184909,0.212432
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3021020.0,0.179673,0.206417
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2811940.0,0.193032,0.221765
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2864284.0,0.189505,0.217712
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2906244.0,0.186769,0.214569
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3296408.0,0.164663,0.189172
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3369768.0,0.161078,0.185054
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2745000.0,0.19774,0.227173
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2834424.0,0.191501,0.220006
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2879484.0,0.188504,0.216563
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2983604.0,0.181926,0.209005
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2896888.0,0.187372,0.215262
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,3236232.0,0.167724,0.19269
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2812264.0,0.19301,0.221739
297730.0,209662.0,35403.0,80794.0,542795.0,623589.0,2980664.0,0.182105,0.209211
