float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2249384.0,0.241315,0.277237
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2196330.0,0.247145,0.283934
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2356379.0,0.230358,0.264649
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2792700.0,0.194368,0.223301
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1940080.0,0.279788,0.321437
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2235424.0,0.242822,0.278969
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2558450.0,0.212164,0.243746
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3228156.0,0.168149,0.193179
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2565546.0,0.211577,0.243072
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2378384.0,0.228227,0.2622
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3087669.0,0.1758,0.201969
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2269142.0,0.239214,0.274823
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2469428.0,0.219812,0.252533
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1935994.0,0.280378,0.322115
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2593820.0,0.209271,0.240423
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2172239.0,0.249885,0.287083
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1888542.0,0.287423,0.330209
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1994904.0,0.272099,0.312603
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2385964.0,0.227502,0.261367
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2749995.0,0.197386,0.226769
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2242602.0,0.242045,0.278076
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1746099.0,0.310871,0.357146
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2368607.0,0.229169,0.263283
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2407054.0,0.225508,0.259077
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2281362.0,0.237933,0.273351
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2162804.0,0.250976,0.288335
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2323350.0,0.233633,0.268411
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2625509.0,0.206745,0.237521
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2096032.0,0.258971,0.297521
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2657156.0,0.204283,0.234692
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2115072.0,0.256639,0.294842
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,4173408.0,0.130064,0.149425
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3092237.0,0.17554,0.201671
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2149520.0,0.252527,0.290117
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2186308.0,0.248277,0.285236
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2122022.0,0.255799,0.293877
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2081704.0,0.260753,0.299569
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2159878.0,0.251316,0.288726
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2308333.0,0.235153,0.270157
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3039157.0,0.178606,0.205193
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3532241.0,0.153673,0.176549
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2303594.0,0.235637,0.270713
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2186126.0,0.248298,0.285259
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2103308.0,0.258075,0.296492
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2235460.0,0.242818,0.278964
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1926131.0,0.281814,0.323765
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3398516.0,0.15972,0.183496
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,1835096.0,0.295794,0.339826
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2210666.0,0.245542,0.282093
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2240588.0,0.242263,0.278326
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2704646.0,0.200696,0.230571
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2364792.0,0.229539,0.263707
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2568977.0,0.211295,0.242748
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2168790.0,0.250283,0.28754
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2185545.0,0.248364,0.285335
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2819478.0,0.192522,0.22118
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2852762.0,0.190276,0.2186
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2456429.0,0.220976,0.25387
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2182542.0,0.248706,0.285728
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3841717.0,0.141294,0.162327
