float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2299786.0,0.232889,0.26802
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2330788.0,0.229791,0.264455
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3037662.0,0.176318,0.202916
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2307524.0,0.232108,0.267121
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2327914.0,0.230075,0.264782
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2248284.0,0.238224,0.27416
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2210944.0,0.242247,0.27879
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2314626.0,0.231396,0.266302
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2308894.0,0.23197,0.266963
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2739052.0,0.19554,0.225037
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2203562.0,0.243059,0.279724
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2327800.0,0.230086,0.264795
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2261634.0,0.236818,0.272541
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2220438.0,0.241211,0.277598
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2312108.0,0.231648,0.266592
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2245036.0,0.238569,0.274556
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2228100.0,0.240382,0.276643
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2294763.0,0.233399,0.268607
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2202066.0,0.243224,0.279914
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2107328.0,0.254158,0.292498
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2391062.0,0.223999,0.257789
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3486518.0,0.153619,0.176792
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2859756.0,0.187287,0.215539
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2748390.0,0.194876,0.224273
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2934872.0,0.182493,0.210022
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2331324.0,0.229739,0.264394
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2259730.0,0.237017,0.272771
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2251130.0,0.237923,0.273813
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2217720.0,0.241507,0.277938
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2365050.0,0.226462,0.260624
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,4060500.0,0.131904,0.151801
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3541480.0,0.151235,0.174048
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3070898.0,0.17441,0.200719
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,1919108.0,0.279085,0.321185
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2120912.0,0.252531,0.290625
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2176240.0,0.24611,0.283236
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2320526.0,0.230808,0.265625
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3119438.0,0.171696,0.197596
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2911166.0,0.18398,0.211733
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2444474.0,0.219104,0.252156
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3094382.0,0.173086,0.199196
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3070544.0,0.17443,0.200743
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3000178.0,0.178521,0.205451
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3559777.0,0.150457,0.173154
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3697674.0,0.144846,0.166696
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2471272.0,0.216728,0.249422
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3095148.0,0.173043,0.199147
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2984730.0,0.179445,0.206514
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3074528.0,0.174204,0.200482
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3490515.0,0.153443,0.17659
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3172916.0,0.168802,0.194266
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2725169.0,0.196536,0.226184
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2470292.0,0.216814,0.249521
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2628664.0,0.203752,0.234488
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2588492.0,0.206914,0.238127
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2732159.0,0.196034,0.225605
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2737570.0,0.195646,0.225159
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2602323.0,0.205814,0.236861
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3054075.0,0.175371,0.201825
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2839107.0,0.188649,0.217107
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3113502.0,0.172023,0.197973
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3138528.0,0.170652,0.196394
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2811858.0,0.190477,0.219211
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3289978.0,0.162796,0.187354
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2270120.0,0.235932,0.271523
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3305206.0,0.162046,0.18649
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2122764.0,0.25231,0.290371
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2860244.0,0.187255,0.215502
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3059124.0,0.175081,0.201492
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3083613.0,0.173691,0.199892
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2534181.0,0.211348,0.24323
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2845570.0,0.188221,0.216614
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2657972.0,0.201505,0.231902
