float adds,float mult,float div,float comp,float total only math,float total with comp,QRSdet runtime,QRSfilt runtime,Classify runtime,total runtime,performance,performance (w/ comp)
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3021916.0,474424.0,439108.0,6008000.0,0.092484,0.105071
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3114644.0,522936.0,448340.0,6105924.0,0.091001,0.103386
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3039808.0,474152.0,446188.0,6084300.0,0.091324,0.103753
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3015464.0,547100.0,440804.0,5998656.0,0.092628,0.105235
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3094292.0,494860.0,444184.0,6136536.0,0.090547,0.10287
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2940220.0,473800.0,442408.0,5983320.0,0.092865,0.105504
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2964080.0,480644.0,439820.0,6029152.0,0.092159,0.104702
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2937496.0,472720.0,437184.0,5916576.0,0.093913,0.106695
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3013840.0,472648.0,443616.0,6048320.0,0.091867,0.104371
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941152.0,475024.0,437888.0,6001608.0,0.092582,0.105183
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942112.0,474176.0,441724.0,6006248.0,0.092511,0.105102
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3023560.0,472836.0,442264.0,6005000.0,0.09253,0.105124
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943356.0,472704.0,440720.0,6005036.0,0.09253,0.105123
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941248.0,473208.0,437340.0,5937116.0,0.093588,0.106326
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941212.0,474596.0,440984.0,5949752.0,0.093389,0.1061
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2949972.0,475800.0,439348.0,6029404.0,0.092156,0.104698
