float adds,float mult,float div,float comp,float total only math,float total with comp,QRSdet runtime,QRSfilt runtime,Classify runtime,total runtime,performance,performance (w/ comp)
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3155084.0,482476.0,452312.0,6864492.0,0.080945,0.091961
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2960576.0,479080.0,454084.0,6016192.0,0.092358,0.104928
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3044128.0,474312.0,445388.0,6139464.0,0.090504,0.102821
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3072892.0,473760.0,443516.0,6117480.0,0.090829,0.103191
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3785753.0,605688.0,574091.0,7651467.0,0.072619,0.082503
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3067108.0,522404.0,441592.0,6055156.0,0.091764,0.104253
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943168.0,473696.0,443728.0,6063680.0,0.091635,0.104106
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3019920.0,474116.0,445424.0,6060640.0,0.091681,0.104158
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2992344.0,474404.0,441664.0,6033476.0,0.092093,0.104627
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4519186.0,737998.0,732036.0,9090602.0,0.061123,0.069442
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3020732.0,475128.0,444156.0,6160440.0,0.090195,0.102471
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3041784.0,473888.0,443768.0,6106208.0,0.090996,0.103381
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3070420.0,550520.0,441148.0,6057764.0,0.091724,0.104208
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3070792.0,473988.0,442568.0,6107736.0,0.090974,0.103355
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3001552.0,473656.0,438292.0,6008108.0,0.092482,0.105069
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4301523.0,686319.0,677806.0,8752153.0,0.063486,0.072127
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4164959.0,660446.0,648272.0,8436326.0,0.065863,0.074827
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4466690.0,718504.0,677164.0,9047658.0,0.061413,0.069771
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5330524.0,874569.0,779877.0,10673069.0,0.05206,0.059146
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2999096.0,473936.0,438208.0,5981940.0,0.092887,0.105529
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4343439.0,697497.0,647209.0,8748999.0,0.063509,0.072153
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5863962.0,968534.0,1007660.0,11978960.0,0.046385,0.052698
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4473776.0,710042.0,710674.0,9080508.0,0.061191,0.069519
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2975840.0,507512.0,441056.0,5964044.0,0.093165,0.105845
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4429872.0,714045.0,677199.0,9006733.0,0.061692,0.070088
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3087828.0,494592.0,463286.0,6205060.0,0.089547,0.101734
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943716.0,474056.0,438296.0,5950524.0,0.093377,0.106086
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2963680.0,481612.0,448520.0,5964504.0,0.093158,0.105837
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4720246.0,756332.0,744000.0,9496762.0,0.058509,0.066472
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2945668.0,474352.0,437340.0,5950444.0,0.093378,0.106087
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2958732.0,480080.0,448584.0,5964384.0,0.09316,0.105839
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3086445.0,493853.0,466174.0,6235954.0,0.089103,0.10123
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5081272.0,824468.0,755544.0,10224926.0,0.054342,0.061738
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5273948.0,840138.0,867342.0,10653403.0,0.052156,0.059255
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2955076.0,477584.0,450368.0,5962688.0,0.093187,0.10587
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2958792.0,475612.0,443012.0,5941604.0,0.093517,0.106245
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3505417.0,560544.0,558552.0,7056641.0,0.07874,0.089457
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5658236.0,906712.0,917927.0,11574291.0,0.048007,0.05454
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4862372.0,794556.0,737330.0,9714666.0,0.057196,0.064981
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2938776.0,474568.0,440556.0,5921008.0,0.093843,0.106615
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2944132.0,473248.0,440424.0,5925600.0,0.09377,0.106532
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3023953.0,478995.0,444733.0,6046354.0,0.091897,0.104405
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3302614.0,547130.0,495765.0,6584402.0,0.084388,0.095873
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3450108.0,554665.0,542960.0,7001668.0,0.079359,0.09016
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941304.0,473448.0,435736.0,5914464.0,0.093946,0.106733
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5374191.0,875497.0,839218.0,10817427.0,0.051366,0.058356
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3702716.0,596173.0,552573.0,7458247.0,0.0745,0.08464
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5052903.0,805576.0,752984.0,10281433.0,0.054043,0.061399
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941200.0,473292.0,441844.0,5923340.0,0.093806,0.106573
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2938084.0,472316.0,439096.0,5921140.0,0.093841,0.106612
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5537700.0,897435.0,836061.0,11222139.0,0.049513,0.056252
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3594002.0,594900.0,534046.0,7216526.0,0.076996,0.087475
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5261694.0,822535.0,745374.0,10351039.0,0.05368,0.060986
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2975488.0,478684.0,440736.0,5966496.0,0.093127,0.105802
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3093260.0,525612.0,461372.0,6197156.0,0.089661,0.101864
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4837303.0,764513.0,715456.0,9753369.0,0.056969,0.064723
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941544.0,473512.0,437896.0,5922444.0,0.09382,0.106589
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2939372.0,473248.0,439632.0,5923968.0,0.093796,0.106562
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2944968.0,474576.0,441248.0,5933624.0,0.093643,0.106388
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5306878.0,853651.0,787497.0,10668929.0,0.05208,0.059169
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2940824.0,472432.0,439964.0,5916556.0,0.093913,0.106695
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4816379.0,808362.0,773889.0,9701007.0,0.057277,0.065072
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2937428.0,473616.0,436864.0,5917648.0,0.093896,0.106675
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5505599.0,981671.0,814613.0,11139347.0,0.049881,0.05667
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4334405.0,733688.0,741334.0,8788633.0,0.063223,0.071828
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2960388.0,483012.0,454892.0,5997296.0,0.092649,0.105259
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2966432.0,476784.0,451504.0,5962616.0,0.093188,0.105871
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3024732.0,475788.0,440972.0,6071364.0,0.091519,0.103974
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3016648.0,474188.0,439956.0,6001752.0,0.09258,0.10518
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3188732.0,532392.0,473192.0,6466404.0,0.085928,0.097623
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3014084.0,473544.0,442132.0,6003972.0,0.092546,0.105142
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4337073.0,695427.0,644526.0,8709485.0,0.063797,0.07248
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4776736.0,761986.0,750632.0,9591622.0,0.05793,0.065814
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3068244.0,473796.0,444004.0,6186780.0,0.089811,0.102035
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5014020.0,825154.0,747820.0,10097299.0,0.055029,0.062518
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5015283.0,805369.0,769128.0,10145272.0,0.054769,0.062223
