float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2336232.0,0.229256,0.263839
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2422926.0,0.221053,0.254399
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2552210.0,0.209855,0.241512
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2525020.0,0.212115,0.244113
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2430506.0,0.220364,0.253605
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2470525.0,0.216794,0.249497
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2463266.0,0.217433,0.250232
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2490228.0,0.215079,0.247523
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2519088.0,0.212615,0.244687
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2429184.0,0.220484,0.253743
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2498218.0,0.214391,0.246731
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2348260.0,0.228082,0.262488
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2370584.0,0.225934,0.260016
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2507502.0,0.213597,0.245818
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2504092.0,0.213888,0.246153
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2470504.0,0.216796,0.249499
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2533648.0,0.211393,0.243281
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2526560.0,0.211986,0.243964
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2485324.0,0.215503,0.248012
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2452166.0,0.218417,0.251365
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2425316.0,0.220835,0.254148
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2429460.0,0.220458,0.253714
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2497850.0,0.214422,0.246768
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2447065.0,0.218872,0.251889
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2466712.0,0.217129,0.249883
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2482302.0,0.215765,0.248313
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2471026.0,0.21675,0.249447
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2504964.0,0.213813,0.246067
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2455362.0,0.218133,0.251038
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2493042.0,0.214836,0.247244
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2345522.0,0.228348,0.262794
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2237104.0,0.239414,0.27553
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2519692.0,0.212564,0.244629
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2512376.0,0.213183,0.245341
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2967952.0,0.180459,0.207682
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2189636.0,0.244605,0.281503
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2470562.0,0.216791,0.249493
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2369420.0,0.226045,0.260143
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2516676.0,0.212818,0.244922
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3058553.0,0.175114,0.20153
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2281696.0,0.234735,0.270145
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2430436.0,0.22037,0.253613
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2482130.0,0.21578,0.248331
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2423690.0,0.220983,0.254318
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2481750.0,0.215813,0.248369
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2482512.0,0.215747,0.248292
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2516416.0,0.21284,0.244947
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2346566.0,0.228246,0.262677
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2508976.0,0.213472,0.245674
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,3026046.0,0.176995,0.203695
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2372614.0,0.22574,0.259793
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2422350.0,0.221106,0.254459
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2438938.0,0.219602,0.252728
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2538692.0,0.210973,0.242798
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2343450.0,0.22855,0.263026
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2394689.0,0.22366,0.257398
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2218764.0,0.241393,0.277807
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2465876.0,0.217203,0.249968
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2253004.0,0.237725,0.273585
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2319260.0,0.230934,0.26577
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2385235.0,0.224546,0.258419
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2361552.0,0.226798,0.26101
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2402230.0,0.222957,0.25659
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2476257.0,0.216292,0.24892
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2320584.0,0.230802,0.265618
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2489690.0,0.215125,0.247577
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2490596.0,0.215047,0.247487
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2453974.0,0.218256,0.25118
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2541374.0,0.21075,0.242542
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2522444.0,0.212332,0.244362
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2495220.0,0.214648,0.247028
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2286800.0,0.234212,0.269542
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2314748.0,0.231384,0.266288
340930.0,180862.0,13803.0,80794.0,535595.0,616389.0,2425882.0,0.220784,0.254089
