float adds,float mult,float div,float comp,float total only math,float total with comp,QRSdet runtime,QRSfilt runtime,Classify runtime,total runtime,performance,performance (w/ comp)
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3068240.0,490868.0,478296.0,6193748.0,0.08971,0.10192
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2944860.0,473436.0,438684.0,5920416.0,0.093852,0.106625
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5926970.0,968319.0,873728.0,11919588.0,0.046616,0.05296
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3147486.0,502800.0,466616.0,6451728.0,0.086123,0.097845
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6242496.0,1001322.0,928912.0,12578744.0,0.044173,0.050185
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6328670.0,1028336.0,931434.0,12659000.0,0.043893,0.049867
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3437691.0,544607.0,526983.0,6897850.0,0.080553,0.091516
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4775041.0,760683.0,778601.0,9669888.0,0.057461,0.065282
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6324584.0,1081980.0,980464.0,12712020.0,0.04371,0.049659
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5885192.0,949832.0,883112.0,11897192.0,0.046704,0.05306
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5979648.0,962932.0,905518.0,12171988.0,0.045649,0.051862
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6245702.0,1002998.0,938570.0,12590390.0,0.044132,0.050139
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6319246.0,1058998.0,936154.0,12721618.0,0.043677,0.049622
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6294886.0,1054548.0,932870.0,12633192.0,0.043983,0.049969
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,4005676.0,631130.0,630988.0,8073269.0,0.068825,0.078192
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,5994258.0,967260.0,897564.0,12214622.0,0.04549,0.051681
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2970344.0,473608.0,438028.0,5953788.0,0.093326,0.106028
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,6309238.0,1002216.0,935728.0,12652274.0,0.043916,0.049894
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3019088.0,473888.0,442608.0,6085000.0,0.091314,0.103741
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942724.0,472280.0,441836.0,6031280.0,0.092127,0.104666
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3111576.0,475208.0,447576.0,6157804.0,0.090234,0.102515
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3100800.0,503496.0,445668.0,6143700.0,0.090441,0.10275
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3016964.0,548216.0,439392.0,6000352.0,0.092602,0.105205
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2945752.0,473576.0,475716.0,6067272.0,0.09158,0.104045
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2938224.0,473752.0,437504.0,5978588.0,0.092939,0.105588
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942268.0,473568.0,441872.0,5928740.0,0.09372,0.106476
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3073568.0,473380.0,439980.0,6106288.0,0.090995,0.10338
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3103628.0,606000.0,447844.0,6152336.0,0.090314,0.102606
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2942008.0,473636.0,439468.0,5985148.0,0.092837,0.105472
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3001192.0,531660.0,441472.0,5994552.0,0.092691,0.105307
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2996852.0,473700.0,441408.0,5980052.0,0.092916,0.105562
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3019516.0,474516.0,443512.0,6108908.0,0.090956,0.103335
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3074308.0,550700.0,442456.0,6118888.0,0.090808,0.103167
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3020536.0,500468.0,440684.0,6014396.0,0.092386,0.104959
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3028732.0,473248.0,440616.0,6013024.0,0.092407,0.104983
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2936348.0,472440.0,443084.0,5924416.0,0.093789,0.106553
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2943340.0,473500.0,442280.0,5936344.0,0.0936,0.106339
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2990004.0,472992.0,441596.0,6048712.0,0.091861,0.104364
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2962648.0,474312.0,442216.0,5955316.0,0.093302,0.106001
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2998236.0,473704.0,441740.0,6004568.0,0.092537,0.105131
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2940736.0,473924.0,445932.0,6083412.0,0.091337,0.103769
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3224228.0,474536.0,444560.0,6241532.0,0.089023,0.10114
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3041472.0,572632.0,443496.0,6115392.0,0.09086,0.103226
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3068376.0,474392.0,442160.0,6055984.0,0.091751,0.104239
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,3098028.0,626560.0,442752.0,6136748.0,0.090544,0.102867
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2964184.0,473852.0,439372.0,5972200.0,0.093038,0.105701
304960.0,209668.0,41015.0,75624.0,555643.0,631267.0,2941324.0,474036.0,441244.0,5929176.0,0.093713,0.106468
