float adds,float mult,float div,float comp,float total only math,float total with comp,total runtime,performance,performance (w/ comp)
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3191500.0,0.17008,0.195398
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2931008.0,0.185196,0.212764
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2977476.0,0.182306,0.209444
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2709232.0,0.200356,0.230181
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2878568.0,0.18857,0.21664
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2888608.0,0.187914,0.215887
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3249308.0,0.167054,0.191922
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2977740.0,0.18229,0.209425
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2802332.0,0.1937,0.222534
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2677584.0,0.202724,0.232901
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3428444.0,0.158326,0.181894
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3342966.0,0.162374,0.186545
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2971684.0,0.182661,0.209852
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3317360.0,0.163627,0.187985
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3409026.0,0.159228,0.18293
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3094372.0,0.175419,0.201531
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2915412.0,0.186187,0.213902
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2958232.0,0.183492,0.210806
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2627984.0,0.20655,0.237297
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2901336.0,0.18709,0.21494
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2738636.0,0.198205,0.227709
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2583116.0,0.210138,0.241419
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2877312.0,0.188652,0.216735
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2987408.0,0.1817,0.208747
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,3001840.0,0.180826,0.207744
297740.0,209664.0,35407.0,80802.0,542811.0,623613.0,2849072.0,0.190522,0.218883
